Date,Website,Visitors
01/05/2024,nst.com.my,8719152
01/06/2024,nst.com.my,7581592
01/07/2024,nst.com.my,10135432
01/08/2024,nst.com.my,10111485
01/09/2024,nst.com.my,8607996
01/10/2024,nst.com.my,8300965
01/11/2024,nst.com.my,7488832
01/12/2024,nst.com.my,6843148
01/01/2025,nst.com.my,6724230
01/02/2025,nst.com.my,5917218
01/12/2023,theedgemalaysia.com,1328097
01/01/2024,theedgemalaysia.com,1564514
01/02/2024,theedgemalaysia.com,1379736
01/03/2024,theedgemalaysia.com,1636026
01/04/2024,theedgemalaysia.com,1400591
01/05/2024,theedgemalaysia.com,1344622
01/06/2024,theedgemalaysia.com,1426164
01/07/2024,theedgemalaysia.com,2848604
01/08/2024,theedgemalaysia.com,4244619
01/09/2024,theedgemalaysia.com,3679968
01/10/2024,theedgemalaysia.com,3655060
01/11/2024,theedgemalaysia.com,2844940
01/12/2024,theedgemalaysia.com,2542540
01/01/2025,theedgemalaysia.com,2787391
01/02/2025,theedgemalaysia.com,2912980
01/10/2023,orientaldaily.com.my,3754435
01/11/2023,orientaldaily.com.my,2883095
01/12/2023,orientaldaily.com.my,2490146
01/01/2024,orientaldaily.com.my,2405107
01/02/2024,orientaldaily.com.my,2204097
01/03/2024,orientaldaily.com.my,2276996
01/04/2024,orientaldaily.com.my,2322373
01/05/2024,orientaldaily.com.my,2510791
01/06/2024,orientaldaily.com.my,2077638
01/07/2024,orientaldaily.com.my,3283745
01/08/2024,orientaldaily.com.my,3042722
01/09/2024,orientaldaily.com.my,2977631
01/10/2024,orientaldaily.com.my,3565046
01/11/2024,orientaldaily.com.my,3300384
01/12/2024,orientaldaily.com.my,3256468
01/01/2025,orientaldaily.com.my,3276025
01/02/2025,orientaldaily.com.my,3101345
01/10/2023,utusan.com.my,2454939
01/11/2023,utusan.com.my,2226117
01/12/2023,utusan.com.my,2332539
01/01/2024,utusan.com.my,1877766
01/02/2024,utusan.com.my,1235558
01/03/2024,utusan.com.my,1189794
01/04/2024,utusan.com.my,818968
01/05/2024,utusan.com.my,847393
01/06/2024,utusan.com.my,599852
01/07/2024,utusan.com.my,2120253
01/08/2024,utusan.com.my,2118825
01/09/2024,utusan.com.my,2609568
01/10/2024,utusan.com.my,2253613
01/11/2024,utusan.com.my,1843470
01/12/2024,utusan.com.my,1789980
01/01/2025,utusan.com.my,1563393
01/02/2025,utusan.com.my,1684488
01/10/2023,thevibes.com,661205
01/11/2023,thevibes.com,636323
01/12/2023,thevibes.com,769119
01/01/2024,thevibes.com,749753
01/02/2024,thevibes.com,720987
01/03/2024,thevibes.com,752441
01/04/2024,thevibes.com,789241
01/05/2024,thevibes.com,757505
01/06/2024,thevibes.com,584633
01/07/2024,thevibes.com,895038
01/08/2024,thevibes.com,692097
01/09/2024,thevibes.com,593268
01/10/2024,thevibes.com,536790
01/11/2024,thevibes.com,540252
01/12/2024,thevibes.com,357910
01/01/2025,thevibes.com,474115
01/02/2025,thevibes.com,407417
01/10/2023,malaysianow.com,680935
01/11/2023,malaysianow.com,706821
01/12/2023,malaysianow.com,527426
01/01/2024,malaysianow.com,255124
01/02/2024,malaysianow.com,163605
01/03/2024,malaysianow.com,238139
01/04/2024,malaysianow.com,563474
01/05/2024,malaysianow.com,408745
01/06/2024,malaysianow.com,592765
01/07/2024,malaysianow.com,792367
01/08/2024,malaysianow.com,866860
01/09/2024,malaysianow.com,1189183
01/10/2024,malaysianow.com,662282
01/11/2024,malaysianow.com,568365
01/12/2024,malaysianow.com,520262
01/01/2025,malaysianow.com,768139
01/02/2025,malaysianow.com,653290
01/10/2023,malaysiagazette.com,1918018
01/11/2023,malaysiagazette.com,2005760
01/12/2023,malaysiagazette.com,2219259
01/01/2024,malaysiagazette.com,2053274
01/02/2024,malaysiagazette.com,1867561
01/03/2024,malaysiagazette.com,2274700
01/04/2024,malaysiagazette.com,1867567
01/05/2024,malaysiagazette.com,2165673
01/06/2024,malaysiagazette.com,1892654
01/07/2024,malaysiagazette.com,2774965
01/08/2024,malaysiagazette.com,2778396
01/09/2024,malaysiagazette.com,2449589
01/10/2024,malaysiagazette.com,2477125
01/11/2024,malaysiagazette.com,2041275
01/12/2024,malaysiagazette.com,2104670
01/01/2025,malaysiagazette.com,2196312
01/02/2025,malaysiagazette.com,1949523
01/10/2023,astroawani.com,11853718
01/11/2023,astroawani.com,9926456
01/12/2023,astroawani.com,10282283
01/01/2024,astroawani.com,8394691
01/02/2024,astroawani.com,7353900
01/03/2024,astroawani.com,8107209
01/04/2024,astroawani.com,7777363
01/05/2024,astroawani.com,7420298
01/06/2024,astroawani.com,5454900
01/07/2024,astroawani.com,6851051
01/08/2024,astroawani.com,6419494
01/09/2024,astroawani.com,5488809
01/10/2024,astroawani.com,5819722
01/11/2024,astroawani.com,5293090
01/12/2024,astroawani.com,5282270
01/01/2025,astroawani.com,5011091
01/02/2025,astroawani.com,5287420
01/10/2023,mstar.com.my,4946012
01/11/2023,mstar.com.my,5137971
01/12/2023,mstar.com.my,5255875
01/01/2024,mstar.com.my,5107322
01/02/2024,mstar.com.my,4815563
01/03/2024,mstar.com.my,6907520
01/04/2024,mstar.com.my,6503782
01/05/2024,mstar.com.my,8390472
01/06/2024,mstar.com.my,7109958
01/07/2024,mstar.com.my,8913107
01/08/2024,mstar.com.my,7423808
01/09/2024,mstar.com.my,7958945
01/10/2024,mstar.com.my,9065128
01/11/2024,mstar.com.my,7469211
01/12/2024,mstar.com.my,6857176
01/01/2025,mstar.com.my,6852982
01/02/2025,mstar.com.my,6093765
